================================================================================
ЛОГ ЗАГРУЗКИ КОНКУРСОВ
Дата: 29.04.2026 10:49:52
Файл: конкурсы минпросвещения (1).xlsx
Режим: add
================================================================================

Создано: 606
Обновлено: 0
Пропущено: 0
Ошибок: 0

ДЕТАЛИ:
--------------------------------------------------------------------------------
Строка 2: CREATE | 1.1. Всероссийская олимпиада школьников (заключительный этап)
Строка 522: CREATE | 6.319. Конкурс для школьников "Школьный акселератор Сбера"
Строка 524: CREATE | 6.32. V Всероссийский конкурс социальной рекламы "Равный - равному"
Строка 526: CREATE | 6.320. Конкурс инженерных и исследовательских проектов ПАО "РусГидро"
Строка 528: CREATE | 6.321. Конкурс интердисциплинарных проектов школьников "IСНЕМ PRIZE"
Строка 530: CREATE | 6.322. Конкурс исследовательских и проектных работ НОУ "Малая академия"
Строка 532: CREATE | 6.323. Конкурс исследовательских проектов школьников "Эврика"
Строка 534: CREATE | 6.324. Конкурс межрегионального фестиваля "Мой город гостеприимный"
Строка 536: CREATE | 6.325. Конкурс научно-исследовательских работ среди школьников по естественным наукам "Путь в науку для школьников"
Строка 538: CREATE | 6.326. Конкурс научно-исследовательской и проектной деятельности школьников "Старт в будущее"
Строка 540: CREATE | 6.327. Конкурс научно-технических и инновационных проектов обучающихся "Большая разведка. Школьный трек"
Строка 542: CREATE | 6.328. Конкурс по иностранным языкам "Островной рубеж"
Строка 544: CREATE | 6.329. Конкурс популяризаторов науки "Наука без границ" для учащихся 1-11 классов общеобразовательных организаций, студентов 1-4 курсов профессиональных образовательных организаций среднего профессионального образования
Строка 546: CREATE | 6.33. V всероссийский музыкально-патриотический конкурс "Голос моей Родины"
Строка 548: CREATE | 6.331. Конкурс социально-значимых проектов "1-й стартап с ТОГУ"
Строка 550: CREATE | 6.332. Конкурс школьных научно- технических проектов АО "ВПК "НПО машиностроения"
Строка 552: CREATE | 6.333. Конкурсное мероприятие "Homo novus"
Строка 554: CREATE | 6.334. Конкурсное мероприятие предпрофессиональных умений "Медскиллс"
Строка 556: CREATE | 6.335. Корпоративный инженерный кейс-чемпионат по инновациям и рационализации "РАЦЭНЕРДЖИ"
Строка 558: CREATE | 6.336. Космическая смена программы "Дежурный по планете"
Строка 560: CREATE | 6.337. Краевой конкурс-выставка научно-технического творчества молодежи "Таланты XXI века"
Строка 562: CREATE | 6.34. V Всероссийский открытый конкурс молодых исполнителей на народных инструментах имени В.В. Андреева
Строка 564: CREATE | 6.343. Математическая олимпиада имени Леонарда Эйлера
Строка 566: CREATE | 6.344. Междисциплинарная интернет-олимпиада инновационного характера "Информационные технологии в сложных системах. Сложные системы в архитектуре и строительстве"
Строка 568: CREATE | 6.345. Междисциплинарная научно-образовательная олимпиада школьников "Малая академия наук - НИКА"
Строка 570: CREATE | 6.346. Междисциплинарная олимпиада для старшеклассников "Звездный маршрут"
Строка 572: CREATE | 6.348. Международная выставка-конкурс детского художественного творчества "Енисейская мозаика"
Строка 574: CREATE | 6.349. Международная ежегодная научно-практическая конференция "МаксиУМ" Донского государственного технического университета
Строка 576: CREATE | 6.35. V Всероссийский фотоконкурс "Мой питомец!"
Строка 578: CREATE | 6.350. Международная конференция "Школьная информатика и проблемы устойчивого развития"
Строка 580: CREATE | 6.351. Международная молодежная научно-практическая конференция "Collegium Linguisticum"
Строка 582: CREATE | 6.352. Международная олимпиада "Innopolis Ореп"
Строка 584: CREATE | 6.353. Международная олимпиада по мировой художественной культуре "Золотое сечение"
Строка 586: CREATE | 6.354. Международная олимпиада по русскому языку для учащихся школ с родным (нерусским) языком обучения
Строка 588: CREATE | 6.356. Международная олимпиада профессионального мастерства студентов, обучающихся по программам высшего, среднего профессионального и среднего общего образования, по компетенции "Основы сетевых технологий", посвященной памяти В.Г. Аверина
Строка 590: CREATE | 6.357. Международная олимпиада старшеклассников по менеджменту "Профессия менеджер"
Строка 592: CREATE | 6.358. Международная олимпиада школьников "Евразийская лингвистическая олимпиада"
Строка 594: CREATE | 6.359. Международная олимпиада, посвященная вопросам изменения климата и проблемам экологии (International Olympiad on Climate Change and Environmental Issues (IOСЕ)
Строка 596: CREATE | 6.360. Международная Премия #МЫВМЕСТЕ
Строка 598: CREATE | 6.361. Международная сертификационная олимпиада "Траектория будущего"
Строка 600: CREATE | 6.362. Международные соревнования по образовательной робототехнике и цифровым технологиям "ДЕТалька-2026"
Строка 602: CREATE | 6.363. Международный инженерный чемпионат CASE-IN. Школьная лига (Основной сезон и Осенний кубок)
Строка 604: CREATE | 6.364. Международный конкурс "Литературные судьбы Беларуси и России: от диалога к пониманию"
Строка 606: CREATE | 6.365. Международный конкурс "Туристический код моей страны, города, поселка, района - ПРО-туризм"
Строка 608: CREATE | 6.366. Международный конкурс индивидуальных проектов школьников 10-11 классов "NEW PROJECT"
Строка 610: CREATE | 6.367. Международный конкурс исследовательских проектов школьников "Древо жизни"
Строка 612: CREATE | 6.368. Международный конкурс исследовательских работ в области мировой политики и международных отношений "Республика Узбекистан и Российская Федерация в контексте трансформации системы международных отношений"
Строка 614: CREATE | 6.369. Международный конкурс исследовательских работ школьников "Research start"
Строка 616: CREATE | 6.37. V Международный конкурс имени народного артиста Российской Федерации В.Ф. Гридина
Строка 618: CREATE | 6.370. Международный конкурс исследовательских работ школьников "Удивительный мир"
Строка 620: CREATE | 6.371. Международный конкурс сочинений "С русским языком можно творить чудеса!"
Строка 622: CREATE | 6.372. Международный конкурс учебно-образовательных, исследовательских, научно-популярных проектов "ЕСО LIFE"
Строка 624: CREATE | 6.373. Международный литературно-творческий конкурс "Хорошие КНИГИ - верные ДРУЗЬЯ"
Строка 626: CREATE | 6.374. Международный научно-технический, системно-инженерный конкурс-акселератор детских и молодежных инновационных проектов "НТСИ-SkAPT"
Строка 628: CREATE | 6.375. Международный образовательный конкурс проектов дополненной и виртуальной реальности
Строка 630: CREATE | 6.376. Международный открытый чемпионат по робототехнике "Лига Инженеров"
Строка 632: CREATE | 6.377. Международный Турнир естественных наук
Строка 634: CREATE | 6.378. Международный фестиваль "ТехноСтрелка"
Строка 636: CREATE | 6.38. V Международный конкурс рисунка "Узорная Буквица"
Строка 638: CREATE | 6.380. Международный чемпионат по робототехнике - КРАСНОЯРСК 7.0
Строка 640: CREATE | 6.382. Межрегиональная Арт-олимпиада "Осенний марафон"
Строка 642: CREATE | 6.383. Межрегиональная дистанционная полипредметная олимпиада школьников "Хочу быть Первым учителем!"
Строка 644: CREATE | 6.384. Межрегиональная конференция "Дети и война"
Строка 646: CREATE | 6.385. Межрегиональная олимпиада "Биология. Экология. Химия. География"
Строка 648: CREATE | 6.386. Межрегиональная олимпиада "Особый ребенок" для обучающихся классов психолого-педагогической направленности
Строка 650: CREATE | 6.387. Межрегиональная олимпиада для школьников по финансовой грамотности им. Б. Н. Христенко
Строка 652: CREATE | 6.388. Межрегиональная олимпиада по анатомии "Анатомия человека: познай свое тело"
Строка 654: CREATE | 6.389. Межрегиональная олимпиада по истории и культуре казачества "Гордость Отечества"
Строка 656: CREATE | 6.39. V Межрегиональная олимпиада по английскому языку для школьников 4-7 классов Ok English Olymp 2025
Строка 658: CREATE | 6.390. Межрегиональная олимпиада по праву
Строка 660: CREATE | 6.391. Межрегиональная олимпиада по родным языкам народов Сибири и Дальнего Востока в Республике Алтай
Строка 662: CREATE | 6.392. Межрегиональная олимпиада по химии и биологии "Химия и биология: первый шаг в ОмГМУ"
Строка 664: CREATE | 6.393. Межрегиональная олимпиада по химии имени А.А. Баландина
Строка 666: CREATE | 6.394. Межрегиональная олимпиада по химии, физике и математике имени Н.Н. Семёнова
Строка 668: CREATE | 6.395. Межрегиональная олимпиада школьников "САММАТ"
Строка 670: CREATE | 6.396. Межрегиональная олимпиада школьников имени В.Е. Татлина по графике
Строка 672: CREATE | 6.397. Межрегиональная олимпиада
школьников имени
В.Е. Татлина по композиции
Строка 674: CREATE | 6.398. Межрегиональная олимпиада школьников имени В.Е. Татлина по рисунку
Строка 676: CREATE | 6.399. Межрегиональная олимпиада школьников им. И.Я. Верченко по информатике и компьютерной безопасности
Строка 678: CREATE | 6.4. I (XXIX) Всероссийский фестиваль жестовой песни с международным участием "Поющие руки"
Строка 680: CREATE | 6.400. Межрегиональная химическая олимпиада школьников имени академика П.Д. Саркисова
Строка 682: CREATE | 6.401. Межрегиональные командные соревнования в области информационной безопасности "Уральский Киберщит"
Строка 684: CREATE | 6.402. Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования "Казанский (Приволжский) федеральный университет"
Строка 686: CREATE | 6.403. Межрегиональные соревнования обучающихся "Школа безопасности" Сибирского федерального округа
Строка 688: CREATE | 6.404. Межрегиональный инженерный стендап-конкурс технических проектов обучающихся детских мобильных технопарков Кванториум (для малых городов и сельской местности) Техноимпульс 25
Строка 690: CREATE | 6.405. Межрегиональный интеллектуальный турнир "Умножая таланты"
Строка 692: CREATE | 6.406. Межрегиональный конкурс "Интеллектуальное многоборье им. Ю.С. Перевощикова"
Строка 694: CREATE | 6.407. Межрегиональный конкурс для учащихся детских художественных школ и художественных отделений детских школ искусств по предмету "Композиция"
Строка 696: CREATE | 6.408. Межрегиональный конкурс для школьников 9-11 классов "Актуальные вопросы биологии и биотехнологии как основа развития сельского хозяйства и промышленности Российской Федерации"
Строка 698: CREATE | 6.409. Межрегиональный конкурс инженерных моделей "Голдберг шоу"
Строка 700: CREATE | 6.41. VI Всероссийская археологическая школьная конференция с международным участием
Строка 702: CREATE | 6.410. Межрегиональный конкурс инструментального исполнительства имени Н.А. Римского-Корсакова
Строка 704: CREATE | 6.411. Межрегиональный конкурс научно-образовательного медиаконтента "Научная прогулка"
Строка 706: CREATE | 6.412. Межрегиональный конкурс проектно-исследовательских работ учащихся общеобразовательных организаций "Дебют в науке" в рамках профориентационного проекта "Биология и экология для медицины"
Строка 708: CREATE | 6.413. Межрегиональный конкурс проектных и исследовательских работ "Марафон проектов"
Строка 710: CREATE | 6.414. Межрегиональный конкурс учебно-исследовательских, проектных и творческих работ обучающихся "Ломоносовский турнир"
Строка 712: CREATE | 6.415. Межрегиональный конкурс-защита научно-исследовательских работ учащихся
Строка 714: CREATE | 6.416. Межрегиональный образовательный инженерный конкурс научно-технических решений "Инженеры FESCO"
Строка 716: CREATE | 6.417. Межрегиональный фестиваль молодежных предпринимательских проектов "Стартап-70"
Строка 718: CREATE | 6.418. Межрегиональный форум юных исследователей в рамках Площадки открытых коммуникаций "OpenBio"
Строка 720: CREATE | 6.419. Менделеевский международный конкурс для школьников
Строка 722: CREATE | 6.42. VI Всероссийский кейс-чемпионат по предпринимательству "MIR"
Строка 724: CREATE | 6.420. Многопрофильная инженерная олимпиада "Звезда"
Строка 726: CREATE | 6.421. Многопрофильная олимпиада "Путь к успеху"
Строка 728: CREATE | 6.422. Многопрофильная олимпиада Курского государственного университета "Твой выбор"
Строка 730: CREATE | 6.424. Многопрофильная открытая олимпиада школьников "Шаг в ВолГУ"
Строка 732: CREATE | 6.43. VI Всероссийский турнир "РОБО БИТВА 2026", приуроченный к государственному празднику "День Защитника Отечества"
Строка 734: CREATE | 6.430. Научно-исследовательский конкурс "По страницам прошлого..."
Строка 736: CREATE | 6.431. Научно-исследовательский творческий конкурс "Космос будущего"
Строка 738: CREATE | 6.432. Научно-исследовательский хакатон "Курчатов"
Строка 740: CREATE | 6.433. Научно-образовательный интенсив "Школа математики и информатики"
Строка 742: CREATE | 6.434. Научно-практическая конференция "Военмех - первый шаг в науку"
Строка 744: CREATE | 6.435. Научно-практическая конференция "С наукой в жизнь"
Строка 746: CREATE | 6.437. Научно-практическая конференция учащихся "Марс-ИТ"
Строка 748: CREATE | 6.438. Научно-технический конкурс учащихся "Открытый мир. Старт в науку"
Строка 750: CREATE | 6.439. Национальный чемпионат по профессиональному мастерству среди инвалидов и лиц с ограниченными возможностями здоровья "Абилимпикс"
Строка 752: CREATE | 6.44. VI межрегиональный открытый конкурс
исследовательских работ и
проектов естественно-научной
направленности
им. П.А. Мантейфеля
Строка 754: CREATE | 6.440. Нормативы технологической грамотности "ТехноГТО"
Строка 756: CREATE | 6.45. VI Молодёжный конкурс "Я - продюсер!"
Строка 758: CREATE | 6.464. Образовательная платформа "ЭкоСтарт" для развития проектно-технологического мышления школьников и студентов в городах присутствия Госкорпорации "Росатом"
Строка 760: CREATE | 6.465. Образовательный интенсив "Летняя школа "Математика и информатика в современном мире"
Строка 762: CREATE | 6.466. Образовательный конкурс "Звезда Будущего"
Строка 764: CREATE | 6.469. Олимпиада "Алые паруса" для обучающихся 4-8 классов
Строка 766: CREATE | 6.47. VII Всероссийская фотоакция "Спасибо за победу!"
Строка 768: CREATE | 6.470. Олимпиада "Безопасные дороги" для учеников 1-9 классов
Строка 770: CREATE | 6.471. Олимпиада "МИСИС зажигает звёзды"
Строка 772: CREATE | 6.472. Олимпиада "Педагогическое будущее России"
Строка 774: CREATE | 6.473. Олимпиада "Путь к Олимпу"
Строка 776: CREATE | 6.474. Олимпиада "Северсталь для школьников"
Строка 778: CREATE | 6.475. Олимпиада "Я-бакалавр" для обучающихся 5-11 классов
Строка 780: CREATE | 6.476. Олимпиада "Азимут. School"
Строка 782: CREATE | 6.477. Олимпиада дипломных проектов студентов образовательных организаций, находящихся в ведении Федерального агентства железнодорожного транспорта, в 2025 году
Строка 784: CREATE | 6.478. Олимпиада имени И.В. Мичурина
Строка 786: CREATE | 6.479. Олимпиада по комплексу предметов "Культура и искусство"
Строка 788: CREATE | 6.48. VII Всероссийский конкурс детских рисунков "Пасхальное яйцо"
Строка 790: CREATE | 6.480. Олимпиада Учи.ру по английскому языку для учеников 1-11 классов
Строка 792: CREATE | 6.481. Олимпиада Учи.ру по математике для учеников 1-11 классов
Строка 794: CREATE | 6.482. Олимпиада школьников "Агро"
Строка 796: CREATE | 6.483. Олимпиада школьников "Байкальская перспектива"
Строка 798: CREATE | 6.484. Олимпиада школьников "Всероссийский школьный ТИМ-Чемпионат" СПбГАСУ
Строка 800: CREATE | 6.485. Олимпиада школьников "Надежда энергетики"
Строка 802: CREATE | 6.486. Олимпиада школьников "Олимпиада Дагестанского государственного университета"
Строка 804: CREATE | 6.487. Олимпиада школьников "Основы медицины в биологии"
Строка 806: CREATE | 6.488. Олимпиада школьников "ТИИМ - Технологии. Интеллект. Информатика. Математика"
Строка 808: CREATE | 6.489. Олимпиада школьников "Транспортные системы и технологии" СПбГАСУ
Строка 810: CREATE | 6.49. VII Изобразительный диктант "Моя страна - моя история"
Строка 812: CREATE | 6.490. Олимпиада школьников "Химия - основа современной медицины"
Строка 814: CREATE | 6.491. Олимпиада школьников "Юный медик"
Строка 816: CREATE | 6.492. Олимпиада школьников и студентов СПО "Поступи в ВолГАУ"
Строка 818: CREATE | 6.493. Олимпиада школьников Образовательного центра города Когалым
Строка 820: CREATE | 6.494. Олимпиада школьников по астрономии имени В.Я. Струве
Строка 822: CREATE | 6.495. Олимпиада школьников по востоковедению "Восточный вектор"
Строка 824: CREATE | 6.496. Олимпиада школьников по истории инженерного дела
Строка 826: CREATE | 6.497. Олимпиада школьников по истории Санкт-Петербурга
Строка 828: CREATE | 6.498. Олимпиада школьников по психологии "ПсихологиЯ"
Строка 830: CREATE | 6.499. Олимпиада школьников по технопредпринимательству "ТехноОлимп"
Строка 832: CREATE | 6.5. I Всероссийская олимпиада по музыкальным историко-теоретическим дисциплинам (по программам среднего профессионального образования)
Строка 834: CREATE | 6.50. VII Региональная конференция научно-исследовательских и проектных работ школьников "Галактика науки"
Строка 836: CREATE | 6.500. Олимпиада школьников по физике "Естествознание"
Строка 838: CREATE | 6.501. Олимпиада школьников по химии и химической технологии "Большая олимпиада Росхим"
Строка 840: CREATE | 6.502. Олимпиада школьников по химии и химической технологии "Потомки Менделеева"
Строка 842: CREATE | 6.503. Олимпиада школьников Республики Саха (Якутия)
Строка 844: CREATE | 6.504. Олимпиада школьников Российского государственного аграрного университета - МСХА имени К.А. Тимирязева
Строка 846: CREATE | 6.505. Олимпиада школьников Санкт-Петербургского государственного университета по теологии
Строка 848: CREATE | 6.506. Олимпиада Яндекс Образования по информатике
Строка 850: CREATE | 6.508. Открытая Всероссийская предметная олимпиада школьников по иностранным языкам "АЛЬТЕРЛИНГВА" (английский язык, немецкий язык, французский язык, китайский язык)
Строка 852: CREATE | 6.51. VIII Всероссийская
с международным участием
научно-практическая
конференция-конкурс
публикаций "Колпинские
чтения: детско-юношеский
туристско-краеведческий
форум"
Строка 854: CREATE | 6.513. Открытая интернет-олимпиада по математике и информатике "Невский интеграл"
Строка 856: CREATE | 6.515. Открытая международная студенческая интернет-олимпиада "Статистика и анализ данных"
Строка 858: CREATE | 6.516. Открытая межрегиональная инженерно-технологическая конференция "Наука. Смелость. Изобретения"
Строка 860: CREATE | 6.517. Открытая межрегиональная олимпиада по астрономии имени Ф.А. Бредихина
Строка 862: CREATE | 6.518. Открытая межрегиональная олимпиада школьников по педагогике
Строка 864: CREATE | 6.52. VIII Всероссийский конкурс молодых музыкантов "Созвездие"
Строка 866: CREATE | 6.521. Открытая научно-практическая конференция "Менделеев"
Строка 868: CREATE | 6.522. Открытая научно-практическая конференция "Старт в медицину"
Строка 870: CREATE | 6.524. Открытая олимпиада по геометрии среди обучающихся 7-11 классов
Строка 872: CREATE | 6.525. Открытая олимпиада ФГАОУ ВО "Северо-Кавказский федеральный университет" "45 параллель" среди учащихся образовательных организаций
Строка 874: CREATE | 6.526. Открытая олимпиада школьников "Педиатр" по биологии
Строка 876: CREATE | 6.527. Открытая олимпиада школьников "Педиатр" по химии
Строка 878: CREATE | 6.528. Открытая олимпиада школьников по биологии
Строка 880: CREATE | 6.529. Открытая олимпиада школьников по химии
Строка 882: CREATE | 6.53. VIII Всероссийской студенческой олимпиады образовательных организаций высшего образования по специальности "Экономическая безопасность"
Строка 884: CREATE | 6.530. Открытая олимпиада школьников по экономике имени Степана Ивановича Колокольникова
Строка 886: CREATE | 6.531. Открытая олимпиада ЯрГУ по информатике
Строка 888: CREATE | 6.532. Открытая Олимпиада ЯрГУ по математике
Строка 890: CREATE | 6.534. Открытая региональная конференция "Ступеньки к творчеству" учебно-исследовательских работ учащихся начальных классов
Строка 892: CREATE | 6.536. Открытая региональная научно-исследовательская конференция обучающихся "Молодежь изучает окружающий мир"
Строка 894: CREATE | 6.537. Открытая региональная
научно-практическая
конференция
старшеклассников "Ученые будущего"
Строка 896: CREATE | 6.538. Открытая региональная олимпиада школьников по геологии "Геосфера"
Строка 898: CREATE | 6.539. Открытый всероссийский фестиваль технического творчества "ТехноКакТУС: как творить, уметь, созидать"
Строка 900: CREATE | 6.540. Открытый Всероссийский фестиваль-конкурс по 3D-моделированию "Символ памяти моей Малой Родины"
Строка 902: CREATE | 6.541. Открытый интеллект-турнир по математике и информатике
Строка 904: CREATE | 6.542. Открытый интеллектуальный конкурс "Менеджмент будущего" Института управления Федерального государственного бюджетного образовательного учреждения высшего образования "Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"
Строка 906: CREATE | 6.543. Открытый интеллектуальный конкурс Воронежского филиала РАНХиГС по экономике и праву "Школа государственного управления"
Строка 908: CREATE | 6.544. Открытый интеллектуальный конкурс Дальневосточного института управления - филиала РАНХиГС "Олимпиада по менеджменту, экономике и государственному управлению для школьников и студентов "ТРАМПЛИН"
Строка 910: CREATE | 6.545. Открытый конкурс проектных и исследовательских работ Кубанского государственного университета для обучающихся по программам среднего общего и среднего профессионального образования "Куб знаний"
Строка 912: CREATE | 6.546. Открытый международный фестиваль робототехники "РобоФинист"
Строка 914: CREATE | 6.547. Открытый межрегиональный фестиваль детского творчества на иностранных языках "Рождественские встречи"
Строка 916: CREATE | 6.548. Открытый межрегиональный Царскосельский форум школьной прессы
Строка 918: CREATE | 6.549. Открытый областной конкурс "Призвание - учитель!"
Строка 920: CREATE | 6.55. VIII Международный конкурс "Расскажи миру о своей Родине"
Строка 922: CREATE | 6.550. Открытый региональный "БиоХакатон53 "
Строка 924: CREATE | 6.551. Открытый региональный конкурс "Олимпиада исследователей и знатоков биологии"
Строка 926: CREATE | 6.552. Открытый региональный конкурс "Санкт-Петербургская медико-биологическая олимпиада школьников"
Строка 928: CREATE | 6.554. Открытый региональный фестиваль-конкурс социальной журналистики "ДоброМедиа"
Строка 930: CREATE | 6.555. Открытый российский чемпионат по робототехнике РобоКап Россия 2026
Строка 932: CREATE | 6.556. Отраслевая олимпиада ПАО "РусГидро" по физике "Энергия образования" для школьников 9-11 классов
Строка 934: CREATE | 6.558. Поволжская межрегиональная олимпиада "Будущее большой химии" для учащихся 9-11 классов общеобразовательных организаций, студентов 1-2 курсов профессиональных образовательных организаций среднего профессионального образования
Строка 936: CREATE | 6.56. VIII Международный фестиваль авторской детской мультипликации "Я творю мир"
Строка 938: CREATE | 6.560. Политехническая олимпиада школьников
Строка 940: CREATE | 6.561. Прикаспийская межрегиональная олимпиада школьников ФГБОУ ВО "Астраханский государственный университет им. В.Н. Татищева"
Строка 942: CREATE | 6.562. Профессиональный художественно-творческий конкурс "Художник без границ"
Строка 944: CREATE | 6.563. Профильная олимпиада школьников "Путь к успеху" по немецкому языку
Строка 946: CREATE | 6.565. Профильная олимпиада школьников по основам безопасности и защиты Родины
Строка 948: CREATE | 6.566. Профориентационный проект "Летняя энергетическая школа ПАО "РусГидро"
Строка 950: CREATE | 6.567. Психолого-педагогическая олимпиада имени И.Н. Ульянова
Строка 952: CREATE | 6.568. Психолого-педагогическая олимпиада среди обучающихся общеобразовательных организаций Дальневосточного федерального округа "Педагогический Олимп"
Строка 954: CREATE | 6.57. VIII Открытый военно-патриотический фестиваль "Майский ветер"
Строка 956: CREATE | 6.570. Региональная конференция краеведческих исследовательских работ обучающихся "Байкальское кольцо"
Строка 958: CREATE | 6.571. Региональная научно-практическая конференция "Первые шаги в науку" для обучающихся 5-9 лет
Строка 960: CREATE | 6.572. Региональная научно-практическая конференция "Человек и космос"
Строка 962: CREATE | 6.573. Региональная научно-практическая конференция имени Н.П. Левашкевича "Образование. Технологии. Инновации"
Строка 964: CREATE | 6.574. Региональная научно-технологическая конференция обучающихся по долгосрочным дополнительным общеобразовательным программам "Горизонт событий"
Строка 966: CREATE | 6.575. Региональная образовательная конкурсная программа в сфере науки, искусства и спорта "Ступени успеха"
Строка 968: CREATE | 6.576. Региональная олимпиада им. В.А. Курова по математике для учащихся 2-8-х классов
Строка 970: CREATE | 6.577. Региональная олимпиада по 3D-модерированию в САПР КОМПАС среди учащихся 10-11 классов общеобразовательных организаций Республики Крым
Строка 972: CREATE | 6.579. Региональная олимпиада по крымскотатарскому языку и литературе в ГБОУВО РК КИПУ имени Февзи Якубова для обучающихся 10-11 классов общеобразовательных организаций и учреждений среднего профессионального образования Республики Крым
Строка 974: CREATE | 6.58. VIII Открытый Всероссийский конкурс вокального и инструментального искусства на Приз Культурного центра Елены Образцовой
Строка 976: CREATE | 6.580. Региональная олимпиада по экономике "В мире экономики"
Строка 978: CREATE | 6.581. Региональная олимпиада школьников в ГБОУВО РК КИПУ имени Февзи Якубова для обучающихся 10-11 классов общеобразовательных организаций Республики Крым
Строка 980: CREATE | 6.582. Региональная олимпиада школьников Ленинградской области по изобразительному искусству
Строка 982: CREATE | 6.583. Региональная олимпиада школьников Ленинградской области по инженерному проектированию и компьютерной графике
Строка 984: CREATE | 6.584. Региональная олимпиада школьников Ленинградской области по краеведению
Строка 986: CREATE | 6.585. Региональная олимпиада школьников Ленинградской области по музыке
Строка 988: CREATE | 6.586. Региональная олимпиада школьников Ленинградской области по основам предпринимательской деятельности и потребительских знаний
Строка 990: CREATE | 6.587. Региональная олимпиада школьников по психологии
Строка 992: CREATE | 6.588. Региональная открытая конференция по научно-техническому творчеству школьников "Лабиринты науки"
Строка 994: CREATE | 6.589. Региональная открытая межпредметная олимпиада по физической культуре для обучающихся Самарской области
Строка 996: CREATE | 6.59. X Всероссийский кинофестиваль "Спасибо" (посвященный Международному Дню Учителя)
Строка 998: CREATE | 6.590. Региональная политехническая олимпиада школьников Ленинградской области
Строка 1000: CREATE | 6.591. Региональная этнографическая олимпиада для младших школьников "Дети снега"
Строка 1002: CREATE | 6.595. Региональные соревнования по компьютерному спорту среди команд общеобразовательных организаций Ханты-Мансийского автономного округа - Югры "Региональная Киберсмена "Юграй"
Строка 1004: CREATE | 6.596. Региональные спортивные соревнования "Школьные Игры ГТО"
Строка 1006: CREATE | 6.597. Региональный инженерно-технологический фестиваль "RoboDrive2026"
Строка 1008: CREATE | 6.599. Региональный конкурс "Литературное творчество. Журналистика"
Строка 1010: CREATE | 6.6. I Всероссийский (XXVI) Фестиваль-конкурс юных исполнителей гитарной музыки
Строка 1012: CREATE | 6.60. X Всероссийский конкурс "Чемпионат по развитию внутреннего туризма "I LOVE RUSSIA-2026"
Строка 1014: CREATE | 6.602. Региональный конкурс граффити "Энергия искусства"
Строка 1016: CREATE | 6.603. Региональный конкурс детских социально значимых инициатив "Вместе!"
Строка 1018: CREATE | 6.604. Региональный конкурс
детского творчества
"В поисках своей мечты"
Строка 1020: CREATE | 6.605. Региональный конкурс детского хореографического искусства "ИСЛАМЕЙ"
Строка 1022: CREATE | 6.606. Региональный конкурс детского хорового пения
Строка 1024: CREATE | 6.608. Региональный конкурс изобразительного искусства "Семья в сюжетах и лицах"
Строка 1026: CREATE | 6.609. Региональный конкурс индивидуального мастерства детей по декоративно-прикладному и изобразительному творчеству "Марья - Искусница, Данила - Мастер"
Строка 1028: CREATE | 6.61. X Всероссийский конкурс "Чемпионат по развитию иноязычных компетенций детей и молодёжи "I LOVE RUSSIA-2026"
Строка 1030: CREATE | 6.610. Региональный конкурс индивидуальных творческих проектов школьников "Город будущего"
Строка 1032: CREATE | 6.611. Региональный конкурс исследовательских проектов "Столыпин"
Строка 1034: CREATE | 6.612. Региональный конкурс исследовательских работ и проектов школьников в области математики, прикладной математики "Математика вокруг нас"
Строка 1036: CREATE | 6.614. Региональный конкурс по изобразительному искусству "мАРТ"
Строка 1038: CREATE | 6.615. Региональный конкурс проектов технического моделирования и конструирования "От идеи до воплощения" среди образовательных учреждений Санкт-Петербурга
Строка 1040: CREATE | 6.616. Региональный конкурс театрального искусства "Юный артист"
Строка 1042: CREATE | 6.619. Региональный конкурс-фестиваль камерной музыки "Радость творчества"
Строка 1044: CREATE | 6.620. Региональный математический турнир "Шаг в математику" для обучающихся общеобразовательных организаций 6-8 классов Ленинградской области
Строка 1046: CREATE | 6.621. Региональный онлайн-чемпионат Югры по креативным индустриям
Строка 1048: CREATE | 6.622. Региональный профориентационный технологический конкурс "Инженерные Кадры России" (ИКаР)
Строка 1050: CREATE | 6.623. Региональный Санкт-Петербургский открытый Фестиваль маленьких музыкантов и художников "ИСКОРКИ"
Строка 1052: CREATE | 6.624. Региональный хакатон "IT-Хакатон 1.4"
Строка 1054: CREATE | 6.625. Региональный хакатон по энергетике "Плюс Минус"
Строка 1056: CREATE | 6.63. X Межрегиональная выставка-конкурс детского художественного творчества "Маленькие шедевры о большом мире"
Строка 1058: CREATE | 6.64. X Межрегиональный конкурс проектных и исследовательских работ обучающихся "Лествица"
Строка 1060: CREATE | 6.645. Российская психолого-педагогическая олимпиада школьников им. К.Д. Ушинского
Строка 1062: CREATE | 6.646. Российская робототехническая олимпиада
Строка 1064: CREATE | 6.647. Российский открытый молодежный водный конкурс-2026 (международный)
Строка 1066: CREATE | 6.648. Российский этап Международных робототехнических соревнований MakeX
Строка 1068: CREATE | 6.65. X Межрегиональный краеведческий фестиваль-конкурс "Сохраним наследие"
Строка 1070: CREATE | 6.650. Северо-Восточная олимпиада школьников
Строка 1072: CREATE | 6.654. Сетевая научно-практическая
конференция
исследовательский
и проектных работ
школьников "КРОНА Junior:
стратегия открытий и
преобразований"
Строка 1074: CREATE | 6.655. Сибирская межрегиональная олимпиада по черчению и компьютерной графике
